date,no. tweets,Select,no_tweets
2021-01-03,,low/high credibility (%),18.244803695150118
2021-01-04,,low/high credibility (%),19.39163498098859
2021-01-05,,low/high credibility (%),20.34313725490196
2021-01-06,,low/high credibility (%),16.823687752355315
2021-01-07,,low/high credibility (%),16.095890410958905
2021-01-08,,low/high credibility (%),13.716108452950559
2021-01-09,,low/high credibility (%),12.720156555772993
2021-01-10,,low/high credibility (%),15.885947046843176
2021-01-11,,low/high credibility (%),20.74688796680498
2021-01-12,,low/high credibility (%),13.08139534883721
2021-01-13,,low/high credibility (%),17.91907514450867
2021-01-14,,low/high credibility (%),19.017094017094017
2021-01-15,,low/high credibility (%),16.07843137254902
2021-01-16,,low/high credibility (%),20.6286836935167
2021-01-17,,low/high credibility (%),20.833333333333336
2021-01-18,,low/high credibility (%),15.770609318996415
2021-01-19,,low/high credibility (%),16.433566433566433
2021-01-20,,low/high credibility (%),15.730337078651685
2021-01-21,,low/high credibility (%),15.858208955223882
2021-01-22,,low/high credibility (%),21.863117870722434
2021-01-23,,low/high credibility (%),21.280991735537192
2021-01-24,,low/high credibility (%),20.825852782764812
2021-01-25,,low/high credibility (%),25.418060200668897
2021-01-26,,low/high credibility (%),17.68826619964974
2021-01-27,,low/high credibility (%),16.470588235294116
2021-01-28,,low/high credibility (%),15.0390625
2021-01-29,,low/high credibility (%),15.46218487394958
2021-01-30,,low/high credibility (%),20.292887029288703
2021-01-31,,low/high credibility (%),17.599999999999998
2021-02-01,,low/high credibility (%),10.191082802547772
2021-02-02,,low/high credibility (%),13.49527665317139
2021-02-03,,low/high credibility (%),11.176470588235295
2021-02-04,,low/high credibility (%),10.864745011086473
2021-02-05,,low/high credibility (%),13.58974358974359
2021-02-06,,low/high credibility (%),16.612377850162865
2021-02-07,,low/high credibility (%),18.446601941747574
2021-02-08,,low/high credibility (%),13.995943204868155
2021-02-09,,low/high credibility (%),12.8060263653484
2021-02-10,,low/high credibility (%),18.823529411764707
2021-02-11,,low/high credibility (%),20.27972027972028
2021-02-12,,low/high credibility (%),18.886198547215496
2021-02-13,,low/high credibility (%),22.033898305084744
2021-02-14,,low/high credibility (%),19.35483870967742
2021-02-15,,low/high credibility (%),15.723270440251572
2021-02-16,,low/high credibility (%),10.01727115716753
2021-02-17,,low/high credibility (%),15.929203539823009
2021-02-18,,low/high credibility (%),11.888111888111888
2021-02-19,,low/high credibility (%),14.622641509433961
2021-02-20,,low/high credibility (%),17.57246376811594
2021-02-21,,low/high credibility (%),15.083798882681565
2021-02-22,,low/high credibility (%),22.52747252747253
2021-02-23,,low/high credibility (%),20.618556701030926
2021-02-24,,low/high credibility (%),14.756446991404012
2021-02-25,,low/high credibility (%),14.243323442136498
2021-02-26,,low/high credibility (%),17.928902627511594
2021-02-27,,low/high credibility (%),14.07035175879397
2021-02-28,,low/high credibility (%),19.16376306620209
